"Platform","Scout"
"Customer","c2bf4995e1bf3ce1"
"Report By","Elansol Technologies Pvt Ltd"
"Start Date","10-12-2025 10:27"
"End Date","11-12-2025 10:27"

"Sr. No","Violation","Zone","Camera","Alarm Triggered","Time"
"37","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:25"
"38","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"39","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"40","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:25"
"41","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"42","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:25"
"43","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"44","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:25"
"45","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:25"
"46","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:25"
"47","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:25"
"48","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:25"
"49","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:25"
"50","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:25"
"51","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM02","true","11-12-2025 10:25"
"52","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:25"
"53","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:25"
"54","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:25"
"55","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:25"
"56","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:25"
"57","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM02","true","11-12-2025 10:25"
"58","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:25"
"59","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:25"
"60","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:25"
"61","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:25"
"62","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:25"
"63","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:25"
"64","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:25"
"65","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:25"
"66","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"67","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:25"
"68","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:25"
"69","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"70","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:25"
"71","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"72","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"73","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:25"
"74","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:25"
"75","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:25"
"76","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:25"
"77","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:25"
"78","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:25"
"79","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"80","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:25"
"81","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:25"
"82","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:25"
"83","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:25"
"84","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"85","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM04","true","11-12-2025 10:25"
"86","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:25"
"87","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:25"
"88","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM02","true","11-12-2025 10:25"
"89","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"90","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"91","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM04","true","11-12-2025 10:25"
"92","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:25"
"93","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:26"
"94","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM04","true","11-12-2025 10:26"
"95","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"96","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:26"
"97","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:26"
"98","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"99","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM04","true","11-12-2025 10:26"
"100","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:26"
"101","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"102","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:26"
"103","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"104","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:26"
"105","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"106","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM04","true","11-12-2025 10:26"
"107","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:26"
"108","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:26"
"109","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"110","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"111","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM02","true","11-12-2025 10:26"
"112","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"113","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM02","true","11-12-2025 10:26"
"114","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:26"
"115","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"116","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"117","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"118","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:26"
"119","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"120","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:26"
"121","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"122","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:26"
"123","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"124","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:26"
"125","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"126","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM02","true","11-12-2025 10:26"
"127","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:26"
"128","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:26"
"129","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:26"
"130","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"131","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:26"
"132","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:26"
"133","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM02","true","11-12-2025 10:26"
"134","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:26"
"135","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:26"
"136","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:26"
"137","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"138","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"139","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:26"
"140","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"141","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"142","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:26"
"143","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:26"
"144","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"145","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:26"
"146","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"147","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:26"
"148","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:26"
"149","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:26"
"150","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:26"
"151","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:26"
"152","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:26"
"153","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"154","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:26"
"155","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:26"
"156","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:26"
"157","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"158","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:26"
"159","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:26"
"160","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:26"
"161","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:26"
"162","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:26"
"163","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:26"
"164","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:26"
"165","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"166","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:26"
"167","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:26"
"168","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"169","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"170","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:26"
"171","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:26"
"172","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:26"
"173","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM04","true","11-12-2025 10:26"
"174","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:26"
"175","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"176","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:26"
"177","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:26"
"178","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:26"
"179","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:26"
"180","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:26"
"181","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:26"
"182","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:26"
"183","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:26"
"184","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:26"
"185","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"186","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:26"
"187","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"188","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:26"
"189","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:26"
"190","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:26"
"191","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:26"
"192","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:26"
"193","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM03","true","11-12-2025 10:26"
"194","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:26"
"195","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:26"
"196","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:26"
"197","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:26"
"198","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:26"
"199","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:26"
"200","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:26"
"201","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:26"
"202","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:26"
